ID;Actif (0/1);Nom;Catégories (x,y,z...);Prix de vente TTC;ID règles de taxes;Prix d'achat;Référence;fournisseur;Fabricant;EAN-13;Quantité
2093;0;Bulgari 0BV8186KB 5193T5;82,69;539;1;340;0BV8186KB 5193T5;3;30;8,05367E+12;10
2094;0;Bulgari 0BV8186KB 5412T3;82,69;539;1;340;0BV8186KB 5412T3;3;30;8,05367E+12;10
2095;0;Bulgari 0BV6088 202218;82,69;239;1;147.83;0BV6088 202218;3;30;8,05367E+12;10
2096;0;Bulgari 0BV6088 203890;82,69;239;1;147.83;0BV6088 203890;3;30;8,05367E+12;10
2097;0;Bulgari 0BV8189 504/13;82,69;199;1;127;0BV8189 504/13;3;30;8,05367E+12;10
2098;0;Bulgari 0BV6089 2045H5;82,69;189;1;118.67;0BV6089 2045H5;3;30;8,05367E+12;10
2099;0;Bulgari 0BV6095 20266G;82,69;219;1;135.33;0BV6095 20266G;3;30;8,05367E+12;10
2100;0;Bulgari 0BV8191 901/8G;82,69;219;1;135.33;0BV8191 901/8G;3;30;8,05367E+12;10
2101;0;Bulgari 0BV6093 20144Z;82,69;199;1;127;0BV6093 20144Z;3;30;8,05367E+12;10
2102;0;Bulgari 0BV8190KB 5193T5;82,69;539;1;340;0BV8190KB 5193T5;3;30;8,05367E+12;10
2103;0;Bulgari 0BV6096 20134Z;82,69;189;1;118.67;0BV6096 20134Z;3;30;8,05367E+12;10
2104;0;Bulgari 0BV6091B 20144Z;82,69;169;1;106.17;0BV6091B 20144Z;3;30;8,05367E+12;10
2105;0;Bulgari 0BV8194B 504/13;82,69;189;1;118.67;0BV8194B 504/13;3;30;8,05367E+12;10
2106;0;Bulgari 0BV5044 128/87;82,68;169;1;106.17;0BV5044 128/87;3;30;8,05367E+12;10
2107;0;Bulgari 0BV6101B 278/13;82,69;239;1;147.83;0BV6101B 278/13;3;30;8,05367E+12;10
2108;0;Bulgari 0BV7031 526271;82,68;219;1;135.33;0BV7031 526271;3;30;8,05367E+12;10
2109;0;Bulgari 0BV8195KB 5193T5;82,69;539;1;340;0BV8195KB 5193T5;3;30;8,05367E+12;10
2110;0;Bulgari 0BV6103 2032H5;82,69;219;1;135.33;0BV6103 2032H5;3;30;8,05367E+12;10
2111;0;Bulgari 0BV8201B 501/T3;82,69;219;1;139.5;0BV8201B 501/T3;3;30;8,05367E+12;10
2112;0;Bulgari 0BV8203 544618;82,69;219;1;135.33;0BV8203 544618;3;30;8,05367E+12;10
2113;0;Bulgari 0BV7032 526287;82,68;189;1;118.67;0BV7032 526287;3;30;8,05367E+12;10
2114;0;Bulgari 0BV8204B 54128G;82,69;219;1;135.33;0BV8204B 54128G;3;30;8,05367E+12;10
2115;0;Bulgari 0BV6106B 278/13;82,69;219;1;135.33;0BV6106B 278/13;3;30;8,05367E+12;10
2116;0;Bulgari 0BV5045 128/87;82,68;169;1;106.17;0BV5045 128/87;3;30;8,05367E+12;10
2117;0;Bulgari 0BV5045 20134Z;82,68;169;1;106.17;0BV5045 20134Z;3;30;8,05367E+12;10
2118;0;Bulgari 0BV6109 203214;82,69;219;1;135.33;0BV6109 203214;3;30;8,05367E+12;10
2119;0;Bulgari 0BV5046TK 204081;82,68;659;1;415;0BV5046TK 204081;3;30;8,05367E+12;10
2120;0;Bulgari 0BV5046TK 203983;82,68;659;1;415;0BV5046TK 203983;3;30;8,05367E+12;10
2121;0;Bulgari 0BV8207B 504/13;82,69;219;1;135.33;0BV8207B 504/13;3;30;8,05367E+12;10
2122;0;Bulgari 0BV8151BM 501/T3;82,69;279;1;172.83;0BV8151BM 501/T3;3;30;8,05367E+12;10
2123;0;Bulgari 0BV8156B 53528G;82,69;199;1;127;0BV8156B 53528G;3;30;8,05367E+12;10
2124;0;Bulgari 0BV5036K 394/81;82,68;319;1;202;0BV5036K 394/81;3;30;8,05367E+12;10
2125;0;Bulgari 0BV8163B 501/8G;82,69;169;1;106.17;0BV8163B 501/8G;3;30;8,05367E+12;10
2126;0;Bulgari 0BV8171B 537913;82,69;189;1;118.67;0BV8171B 537913;3;30;8,05367E+12;10
2127;0;Bulgari 0BV6083 20145A;82,69;169;1;106.17;0BV6083 20145A;3;30;8,05367E+12;10
2128;0;Bulgari 0BV6083 203013;82,69;169;1;106.17;0BV6083 203013;3;30;8,05367E+12;10
2129;0;Bulgari 0BV8178 901/8G;82,69;169;1;106.17;0BV8178 901/8G;3;30;8,05367E+12;10
2130;0;Bulgari 0BV8178 11115A;82,69;169;1;106.17;0BV8178 11115A;3;30;8,05367E+12;10
2131;0;Bulgari 0BV8178 977/13;82,69;169;1;106.17;0BV8178 977/13;3;30;8,05367E+12;10
2132;0;Bulgari 0BV8182B 901/8G;82,69;319;1;200;0BV8182B 901/8G;3;30;8,05367E+12;10
2133;0;Bulgari 0BV8186KB 827/T3;82,69;539;1;340;0BV8186KB 827/T3;3;30;8,05367E+12;10
2134;0;Bulgari 0BV6087B 20206J;82,69;219;1;135.33;0BV6087B 20206J;3;30;8,05367E+12;10
2135;0;Bulgari 0BV6088 239/6G;82,69;239;1;147.83;0BV6088 239/6G;3;30;8,05367E+12;10
2136;0;Bulgari 0BV6089 20288G;82,69;189;1;118.67;0BV6089 20288G;3;30;8,05367E+12;10
2137;0;Bulgari 0BV6095 20248G;82,69;219;1;135.33;0BV6095 20248G;3;30;8,05367E+12;10
2138;0;Bulgari 0BV8191 11204L;82,69;219;1;135.33;0BV8191 11204L;3;30;8,05367E+12;10
2139;0;Bulgari 0BV8190KB 5412T3;82,69;539;1;340;0BV8190KB 5412T3;3;30;8,05367E+12;10
2140;0;Bulgari 0BV5040K 200781;82,68;539;1;340;0BV5040K 200781;3;30;8,05367E+12;10
2141;0;Bulgari 0BV6096 20321A;82,69;189;1;118.67;0BV6096 20321A;3;30;8,05367E+12;10
2142;0;Bulgari 0BV6091B 278/1A;82,69;169;1;106.17;0BV6091B 278/1A;3;30;8,05367E+12;10
2143;0;Bulgari 0BV6091B 278/5A;82,69;169;1;106.17;0BV6091B 278/5A;3;30;8,05367E+12;10
2144;0;Bulgari 0BV5042 20134Z;82,68;189;1;118.67;0BV5042 20134Z;3;30;8,05367E+12;10
2145;0;Bulgari 0BV8193B 501/8G;82,69;189;1;118.67;0BV8193B 501/8G;3;30;8,05367E+12;10
2146;0;Bulgari 0BV8199BF 501/8G;82,69;219;1;135.33;0BV8199BF 501/8G;3;30;8,05367E+12;10
2147;0;Bulgari 0BV8198B 5439T3;82,69;339;1;215;0BV8198B 5439T3;3;30;8,05367E+12;10
2148;0;Bulgari 0BV8198B 544113;82,69;319;1;200;0BV8198B 544113;3;30;8,05367E+12;10
2149;0;Bulgari 0BV6101B 20373B;82,69;239;1;147.83;0BV6101B 20373B;3;30;8,05367E+12;10
2150;0;Bulgari 0BV6101B 203890;82,69;239;1;147.83;0BV6101B 203890;3;30;8,05367E+12;10
2151;0;Bulgari 0BV6101B 20146F;82,69;239;1;147.83;0BV6101B 20146F;3;30;8,05367E+12;10
2152;0;Bulgari 0BV8196B 504/13;82,69;239;1;147.83;0BV8196B 504/13;3;30;8,05367E+12;10
2153;0;Bulgari 0BV6102B 20148G;82,69;219;1;135.33;0BV6102B 20148G;3;30;8,05367E+12;10
2154;0;Bulgari 0BV6104 20144Z;82,69;219;1;135.33;0BV6104 20144Z;3;30;8,05367E+12;10
2155;0;Bulgari 0BV8203 569/T9;82,69;219;1;135.33;0BV8203 569/T9;3;30;8,05367E+12;10
2156;0;Bulgari 0BV8201BF 501/T3;82,69;219;1;139.5;0BV8201BF 501/T3;3;30;8,05367E+12;10
2157;0;Bulgari 0BV6105B 278/13;82,69;169;1;106.17;0BV6105B 278/13;3;30;8,05367E+12;10
2158;0;Bulgari 0BV6105B 20148G;82,69;169;1;106.17;0BV6105B 20148G;3;30;8,05367E+12;10
2159;0;Bulgari 0BV8206 545373;82,69;219;1;135.33;0BV8206 545373;3;30;8,05367E+12;10
2160;0;Bulgari 0BV8204B 536213;82,69;219;1;135.33;0BV8204B 536213;3;30;8,05367E+12;10
2161;0;Bulgari 0BV8205KB 5412T3;82,69;539;1;340;0BV8205KB 5412T3;3;30;8,05367E+12;10
2162;0;Bulgari 0BV6106B 20363B;82,69;219;1;135.33;0BV6106B 20363B;3;30;8,05367E+12;10
2163;0;Bulgari 0BV6109 20134Z;82,69;219;1;135.33;0BV6109 20134Z;3;30;8,05367E+12;10
2164;0;Bulgari 0BV6108 20144Z;82,69;219;1;135.33;0BV6108 20144Z;3;30;8,05367E+12;10
2165;0;Bulgari 0BV8207B 501/8G;82,69;219;1;135.33;0BV8207B 501/8G;3;30;8,05367E+12;10
2166;0;Bulgari 0BV8208 54564Z;82,69;219;1;135.33;0BV8208 54564Z;3;30;8,05367E+12;10
2167;0;Bulgari 0BV8208 545585;82,69;219;1;135.33;0BV8208 545585;3;30;8,05367E+12;10
2168;0;Bulgari 0BV5031TG 408887;82,68;1069;1;666.67;0BV5031TG 408887;3;30;8,05367E+12;10
2169;0;Bulgari 0BV7021 530987;82,68;169;1;106.17;0BV7021 530987;3;30;8,05367E+12;10
2170;0;Bulgari 0BV5035TK 395/81;82,68;639;1;400;0BV5035TK 395/81;3;30;8,05367E+12;10
2171;0;Bulgari 0BV8161B 501/8G;82,69;159;1;97.83;0BV8161B 501/8G;3;30;8,05367E+12;10
2172;0;Bulgari 0BV6078KB 395/T3;82,69;439;1;275;0BV6078KB 395/T3;3;30;8,05367E+12;10
2173;0;Bulgari 0BV5037 400/6G;82,68;169;1;106.17;0BV5037 400/6G;3;30;8,05367E+12;10
2174;0;Bulgari 0BV8169Q 977/13;82,69;199;1;127;0BV8169Q 977/13;3;30;8,05367E+12;10
2175;0;Bulgari 0BV6082 376/5A;82,69;149;1;95.83;0BV6082 376/5A;3;30;8,05367E+12;10
2176;0;Bulgari 0BV6082 376/8G;82,69;159;1;97.83;0BV6082 376/8G;3;30;8,05367E+12;10
2177;0;Bulgari 0BV8171B 53908G;82,69;189;1;118.67;0BV8171B 53908G;3;30;8,05367E+12;10
2178;0;Bulgari 0BV6083 20188G;82,69;169;1;106.17;0BV6083 20188G;3;30;8,05367E+12;10
2179;0;Bulgari 0BV6083 20206J;82,69;169;1;106.17;0BV6083 20206J;3;30;8,05367E+12;10
2180;0;Bulgari 0BV8176B 504/13;82,69;189;1;118.67;0BV8176B 504/13;3;30;8,05367E+12;10
2181;0;Bulgari 0BV8177 504/13;82,69;169;1;106.17;0BV8177 504/13;3;30;8,05367E+12;10
2182;0;Bulgari 0BV8178 11177E;82,69;169;1;106.17;0BV8178 11177E;3;30;8,05367E+12;10
2183;0;Bulgari 0BV8182B 11215A;82,69;319;1;200;0BV8182B 11215A;3;30;8,05367E+12;10
2184;0;Bulgari 0BV8184B 53768G;82,69;199;1;127;0BV8184B 53768G;3;30;8,05367E+12;10
2185;0;Bulgari 0BV6086B 20148G;82,69;189;1;118.67;0BV6086B 20148G;3;30;8,05367E+12;10
2186;0;Bulgari 0BV8188B 504/13;82,69;219;1;135.33;0BV8188B 504/13;3;30;8,05367E+12;10
2187;0;Bulgari 0BV6095 20274Z;82,69;219;1;135.33;0BV6095 20274Z;3;30;8,05367E+12;10
2188;0;Bulgari 0BV8194BF 504/13;82,69;189;1;118.67;0BV8194BF 504/13;3;30;8,05367E+12;10
2189;0;Bulgari 0BV8190KB 5195T3;82,69;539;1;340;0BV8190KB 5195T3;3;30;8,05367E+12;10
2190;0;Bulgari 0BV5040K 200681;82,68;539;1;340;0BV5040K 200681;3;30;8,05367E+12;10
2191;0;Bulgari 0BV6096 20204L;82,69;189;1;118.67;0BV6096 20204L;3;30;8,05367E+12;10
2192;0;Bulgari 0BV6092B 20148G;82,69;239;1;147.83;0BV6092B 20148G;3;30;8,05367E+12;10
2193;0;Bulgari 0BV5042 195/87;82,68;189;1;118.67;0BV5042 195/87;3;30;8,05367E+12;10
2194;0;Bulgari 0BV6094B 201413;82,69;239;1;147.83;0BV6094B 201413;3;30;8,05367E+12;10
2195;0;Bulgari 0BV8194B 54328H;82,69;189;1;118.67;0BV8194B 54328H;3;30;8,05367E+12;10
2196;0;Bulgari 0BV6099 201318;82,69;219;1;135.33;0BV6099 201318;3;30;8,05367E+12;10
2197;0;Bulgari 0BV8199B 54383B;82,69;219;1;135.33;0BV8199B 54383B;3;30;8,05367E+12;10
2198;0;Bulgari 0BV8198B 54408G;82,69;319;1;200;0BV8198B 54408G;3;30;8,05367E+12;10
2199;0;Bulgari 0BV7031 501/81;82,68;239;1;147.83;0BV7031 501/81;3;30;8,05367E+12;10
2200;0;Bulgari 0BV5043TK 200681;82,68;659;1;415;0BV5043TK 200681;3;30;8,05367E+12;10
2201;0;Bulgari 0BV6097KB 395/T3;82,69;539;1;340;0BV6097KB 395/T3;3;30;8,05367E+12;10
2202;0;Bulgari 0BV8195KB 5195T3;82,69;539;1;340;0BV8195KB 5195T3;3;30;8,05367E+12;10
2203;0;Bulgari 0BV6103 20374Z;82,69;219;1;135.33;0BV6103 20374Z;3;30;8,05367E+12;10
2204;0;Bulgari 0BV6105B 20148H;82,69;169;1;106.17;0BV6105B 20148H;3;30;8,05367E+12;10
2205;0;Bulgari 0BV8206 501/T3;82,69;239;1;147.83;0BV8206 501/T3;3;30;8,05367E+12;10
2206;0;Bulgari 0BV7032 53134Z;82,68;189;1;118.67;0BV7032 53134Z;3;30;8,05367E+12;10
2207;0;Bulgari 0BV6106B 20144Z;82,69;219;1;135.33;0BV6106B 20144Z;3;30;8,05367E+12;10
2208;0;Bulgari 0BV6109 128/87;82,69;219;1;135.33;0BV6109 128/87;3;30;8,05367E+12;10
2209;0;Bulgari 0BV6108 20148H;82,69;219;1;135.33;0BV6108 20148H;3;30;8,05367E+12;10
2210;0;Bulgari 0BV8207B 54494Z;82,69;219;1;135.33;0BV8207B 54494Z;3;30;8,05367E+12;10
2211;0;Bulgari 0BV6053BM 376/8D;82,69;179;1;114.5;0BV6053BM 376/8D;3;30;8,05367E+12;10
2212;0;Bulgari 0BV8120B 501/8G;82,69;169;1;106.17;0BV8120B 501/8G;3;30;8,05367E+12;10
2213;0;Bulgari 0BV8141K 519313;82,69;439;1;275;0BV8141K 519313;3;30;8,05367E+12;10
2214;0;Bulgari 0BV5034K 393/83;82,68;439;1;275;0BV5034K 393/83;3;30;8,05367E+12;10
2215;0;Bulgari 0BV5036K 395/81;82,68;319;1;202;0BV5036K 395/81;3;30;8,05367E+12;10
2216;0;Bulgari 0BV8161B 53634L;82,69;149;1;95.83;0BV8161B 53634L;3;30;8,05367E+12;10
2217;0;Bulgari 0BV8171B 53838G;82,69;189;1;118.67;0BV8171B 53838G;3;30;8,05367E+12;10
2218;0;Bulgari 0BV8173B 53998G;82,69;199;1;127;0BV8173B 53998G;3;30;8,05367E+12;10
2219;0;Bulgari 0BV8179KB 519562;82,69;439;1;275;0BV8179KB 519562;3;30;8,05367E+12;10
2220;0;Bulgari 0BV8181B 54178G;82,69;259;1;160.33;0BV8181B 54178G;3;30;8,05367E+12;10
2221;0;Bulgari 0BV8181B 54198G;82,69;259;1;160.33;0BV8181B 54198G;3;30;8,05367E+12;10
2222;0;Bulgari 0BV7029 501/4Z;82,68;189;1;118.67;0BV7029 501/4Z;3;30;8,05367E+12;10
2223;0;Bulgari 0BV7029 531387;82,68;189;1;118.67;0BV7029 531387;3;30;8,05367E+12;10
2224;0;Bulgari 0BV5039K 200781;82,68;659;1;415;0BV5039K 200781;3;30;8,05367E+12;10
2225;0;Bulgari 0BV5039K 395/81;82,68;659;1;415;0BV5039K 395/81;3;30;8,05367E+12;10
2226;0;Bulgari 0BV6087B 20373B;82,69;219;1;135.33;0BV6087B 20373B;3;30;8,05367E+12;10
2227;0;Bulgari 0BV6089 20134Z;82,69;189;1;118.67;0BV6089 20134Z;3;30;8,05367E+12;10
2228;0;Bulgari 0BV6095 202555;82,69;219;1;135.33;0BV6095 202555;3;30;8,05367E+12;10
2229;0;Bulgari 0BV8191 11215A;82,69;219;1;135.33;0BV8191 11215A;3;30;8,05367E+12;10
2230;0;Bulgari 0BV8194BF 54328H;82,69;189;1;118.67;0BV8194BF 54328H;3;30;8,05367E+12;10
2231;0;Bulgari 0BV6091B 20146F;82,69;169;1;106.17;0BV6091B 20146F;3;30;8,05367E+12;10
2232;0;Bulgari 0BV8194B 53768G;82,69;189;1;118.67;0BV8194B 53768G;3;30;8,05367E+12;10
2233;0;Bulgari 0BV5044 20134Z;82,68;169;1;106.17;0BV5044 20134Z;3;30;8,05367E+12;10
2234;0;Bulgari 0BV5044 202273;82,68;169;1;106.17;0BV5044 202273;3;30;8,05367E+12;10
2235;0;Bulgari 0BV6099 20144Z;82,69;219;1;135.33;0BV6099 20144Z;3;30;8,05367E+12;10
2236;0;Bulgari 0BV8199BF 504/13;82,69;219;1;135.33;0BV8199BF 504/13;3;30;8,05367E+12;10
